Date,Row,Batch,Variety,Total kg,Saleable kg,Samples kg,BRIX,TA,BRIX/TA,Total kg (Grade B),Causes (Grade B),Total kg (cull),Causes (cull)
5/4/2023,30,2,JUK,0.755,0.64,,,,,0.115,,,
5/4/2023,28,8,JUK,3.57,3.505,,,,,0.065,,,
5/4/2023,29,7,JUK,1.75,1.37,,,,,0.38,,,
5/4/2023,27,4,MER,1.47,0.77,,,,,0.7,,,
5/4/2023,26,4,MER,1.33,0.65,,,,,0.68,,,
5/4/2023,20,,MER,1.54,1,,,,,0.54,,,
5/4/2023,25,,MER,1.335,0.915,,,,,0.42,,,
5/4/2023,21,,MER,1.5,0.675,,,,,0.825,,,
5/4/2023,22,8,MER,1.265,0.465,,,,,0.8,,,
5/4/2023,19,,MER,0.48,0.24,,,,,0.24,,,
5/4/2023,23,2,MER,0.9,0.17,,,,,0.73,,,
5/4/2023,24,3,MER,1.625,1.12,,,,,0.505,,,
5/4/2023,18,9,MER,1.11,0.81,,,,,0.3,,,
5/4/2023,17,9,MER,0.135,0.125,,,,,0.01,,,
5/4/2023,14,8,HH,2.045,1.76,,,,,0.285,,,
5/4/2023,18,10,HH,0.575,0.5,,,,,0.075,,,
5/4/2023,5,9,HH,2.135,1.415,,,,,0.72,,,
5/4/2023,13,,HH,1.08,0.88,,,,,0.2,,,
5/4/2023,7,,HH,1.84,1.52,,,,,0.32,,,
5/4/2023,12,8,HH,1.135,0.865,,,,,0.27,,,
5/4/2023,6,9,HH,2.21,1.55,,,,,0.66,,,
5/4/2023,8,,HH,1.875,1.315,,,,,0.56,,,
5/4/2023,9,7,HH,1.005,0.725,,,,,0.28,,,
5/4/2023,11,7,HH,0.935,0.595,,,,,0.34,,,
5/4/2023,10,7,HH,0.84,0.61,,,,,0.23,,,
5/8/2023,35,6,JUK,3.63,3.455,,,,,0.175,,,
5/8/2023,28,8,JUK,2.23,2.03,,,,,0.2,,,
5/8/2023,34,5,JUK,2.205,1.905,,,,,0.3,,,
5/8/2023,33,,JUK,2.14,1.89,,,,,0.25,,,
5/8/2023,32,4,JUK,2.22,1.96,,,,,0.26,,,
5/8/2023,31,,JUK,0.82,0.8,,,,,0.02,,,
5/8/2023,29,7,JUK,1.665,1.28,,,,,0.385,,,
5/8/2023,30,2,JUK,0.775,0.645,,,,,0.13,,,
5/8/2023,20,6,MER,1.93,1.08,,,,,0.85,,,
5/8/2023,27,,MER,1.645,0.945,,,,,0.7,,,
5/8/2023,26,,MER,1.21,0.68,,,,,0.53,,,
5/8/2023,21,7,MER,2.615,1.095,,,,,1.52,,,
5/8/2023,25,,MER,1.535,0.86,,,,,0.675,,,
5/8/2023,19,,MER,0.355,0.205,,,,,0.15,,,
5/8/2023,22,8,MER,1.39,0.64,,,,,0.75,,,
5/8/2023,18,,MER,1,0.5,,,,,0.5,,,
5/8/2023,23,2,MER,1.41,0.23,,,,,1.18,,,
5/8/2023,24,,MER,2.22,1.54,,,,,0.68,,,
5/8/2023,19,,JUK,0.14,0.14,,,,,,,,
5/8/2023,17,,JUK,0.51,0.51,,,,,,,,
5/8/2023,17,,MER,0.065,0.065,,,,,,,,
5/8/2023,14,,HH,2.3,1.99,,,,,0.31,,,
5/8/2023,13,,HH,0.9,0.795,,,,,0.105,,,
5/8/2023,5,9,HH,1.69,1.47,,,,,0.22,,,
5/8/2023,12,,HH,0.96,0.86,,,,,0.1,,,
5/8/2023,6,9,HH,1.69,1.37,,,,,0.32,,,
5/8/2023,11,,HH,1.045,0.85,,,,,0.195,,,
5/8/2023,7,9,HH,2.05,1.645,,,,,0.405,,,
5/8/2023,10,7,HH,0.61,0.555,,,,,0.055,,,
5/8/2023,8,9,HH,1.75,1.505,,,,,0.245,,,
5/8/2023,9,,HH,0.945,0.815,,,,,0.13,,,
5/8/2023,17,,HH,0.44,0.34,,,,,0.1,,,
5/11/2023,28,8,JUK,2.195,1.915,,,,,0.28,,,
5/11/2023,35,8,JUK,3.035,2.98,,,,,0.055,,,
5/11/2023,30,2,JUK,0.665,0.57,,,,,0.095,,,
5/11/2023,29,,JUK,1.18,1.08,,,,,0.1,,,
5/11/2023,31,3,JUK,0.925,0.795,,,,,0.13,,,
5/11/2023,33,,JUK,1.515,1.165,,,,,0.35,,,
5/11/2023,34,5,JUK,2.505,2.38,,,,,0.125,,,
5/11/2023,32,,JUK,2.1,1.9,,,,,0.2,,,
5/11/2023,18,9,MER,1.35,0.92,,,,,0.43,,,
5/11/2023,19,9,MER,0.31,0.18,,,,,0.13,,,
5/11/2023,20,,MER,1.1,0.59,,,,,0.51,,,
5/11/2023,27,4,MER,1.765,1.035,,,,,0.73,,,
5/11/2023,21,7,MER,1.735,0.635,,,,,1.1,,,
5/11/2023,22,,MER,1.1,0.51,,,,,0.59,,,
5/11/2023,23,2,MER,0.98,0.28,,,,,0.7,,,
5/11/2023,25,4,MER,1.17,0.44,,,,,0.73,,,
5/11/2023,24,,MER,2.2,0.87,,,,,1.33,,,
5/11/2023,26,,MER,1.46,0.88,,,,,0.58,,,
5/11/2023,17,9,MER,0.31,0.31,,,,,,,,
5/11/2023,14,8,HH,1.605,1.335,,,,,0.27,,,
5/11/2023,13,,HH,0.63,0.545,,,,,0.085,,,
5/11/2023,5,9,HH,1.155,0.935,,,,,0.22,,,
